package_name,dit_slope,dit_intercept
org_hibernate,0.0,1.0
org_hibernate_action_internal,0.0,1.0
org_hibernate_annotations,0.0,1.0
org_hibernate_boot_jaxb_hbm_internal,0.0,1.0
org_hibernate_boot_jaxb_hbm_spi,0.0,1.0
org_hibernate_bytecode_buildtime_spi,0.0,1.0
org_hibernate_engine_config,0.0,1.0
org_hibernate_engine_config_internal,0.0,1.0
org_hibernate_engine_config_spi,0.0,1.0
org_hibernate_engine_jdbc_connections_internal,0.0,1.0
org_hibernate_engine_transaction_internal,0.0,1.0
org_hibernate_engine_transaction_spi,0.0,1.0
org_hibernate_hql_internal_ast_tree,0.0,4.0
org_hibernate_internal_util_type,0.0,1.0
org_hibernate_jmx_internal,0.0,1.0
org_hibernate_loader_plan_spi,-0.021978021978021973,1.2087912087912087
org_hibernate_mapping,0.0,1.0
org_hibernate_osgitest,0.0,1.0
org_hibernate_osgitest_command,0.0,1.0
org_hibernate_persister_walking_internal,0.0,1.0
org_hibernate_persister_walking_spi,0.0,1.0
org_hibernate_procedure_internal,0.0,1.0
org_hibernate_resource_transaction_backend_jdbc,0.0,1.0
org_hibernate_result,0.0,1.0
org_hibernate_result_internal,0.0,1.0
org_hibernate_secure,0.0,1.0
org_hibernate_secure_spi,0.0,1.0
org_hibernate_type_descriptor_converter,0.0,1.0
org_hibernate_internal,0.0,1.0
org_hibernate_metamodel_source_annotations_xml_filter,0.0,1.0
org_hibernate_bytecode_buildtime_internal,0.0,1.0
org_hibernate_engine_jdbc_batch_spi,0.0,1.0
org_hibernate_engine_query_spi,0.0,1.0
org_hibernate_engine_query_spi_sql,0.0,1.0
org_hibernate_engine_transaction_internal_jta,0.0,1.0
org_hibernate_envers_event_spi,0.0,2.0
org_hibernate_envers_internal_entities_mapper_relation_lazy,0.0,1.0
org_hibernate_metamodel_source_annotations_xml_mocker,0.0,2.0
org_hibernate_metamodel_source_binder,0.0,1.0
org_hibernate_metamodel_source_hbm,0.0,1.0
org_hibernate_metamodel_source_internal,0.0,1.0
org_hibernate_metamodel,0.0,1.0
org_hibernate_metamodel_binding,0.0,1.0
org_hibernate_metamodel_domain,0.0,1.0
org_hibernate_metamodel_relational,0.0,1.0
org_hibernate_metamodel_relational_state,0.0,1.0
org_hibernate_metamodel_source,0.0,1.0
